City,Year,Month,YYYY-MM,Avg_PM2.5_ugm3,Avg_NO2_ppb,Avg_AQI,Avg_Temp_C,Rainfall_mm,WindSpeed_ms,PBL_Height_m,Geography_Tag,Population_million,Green_Cover_pct,Waste_Generation_Mt,Major_Policy_Event,Policy_Event_Flag,Source_Link,Notes,source_tag,quality_flag,PM2.5_rolling_avg,NO2_rolling_avg,PM2.5_anomaly,NO2_anomaly,Composite_Score,Grade
Beijing,2018,11,2018-11-01,87.0,27.8,170,4.2,7.0,2.2,500,Landlocked,21.54,42.0,0.42,Heating Season Begins,1,https://power.larc.nasa.gov/ | https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Heating starts mid-November; 1.7x multiplier,NASA POWER,0,66.33333333333333,21.200000000000003,1.7295730499523296,1.7249459543281545,0.6307571617194909,S
Beijing,2018,12,2018-12-01,107.0,34.2,180,-2.8,2.5,2.0,350,Landlocked,21.54,42.0,0.42,Blue Sky Action Plan,1,https://power.larc.nasa.gov/ | https://dialogue.earth/en/pollution/chinas-air-pollution-progress-since-2008/,Winter peak; 2.1x annual avg; Action Plan launched,NASA POWER,0,85.0,27.166666666666668,2.676586848277714,2.6726869605278387,0.5929625228115688,A
Beijing,2019,1,2019-01-01,92.0,29.4,173,-3.2,2.4,2.1,350,Landlocked,21.54,42.5,0.425,Winter Action Plan Active,1,https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Improvement from 2018; ~42 µg/m³ annual avg × 2.2,NASA POWER,0,95.33333333333331,30.46666666666667,1.966326499533676,1.961881205878075,0.6191341571568619,S
Beijing,2019,2,2019-02-01,84.0,26.9,168,0.8,2.9,2.3,400,Landlocked,21.54,42.5,0.425,No Event,0,https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Winter heating; 2.0x multiplier,NASA POWER,0,94.33333333333331,30.166666666666668,1.5875209802035215,1.5916698753313236,0.6825109844069919,S
Beijing,2019,3,2019-03-01,56.0,17.9,148,7.5,11.0,2.7,700,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Spring; 1.3x annual avg,NASA POWER,0,77.33333333333333,24.73333333333333,0.2617016625479826,0.2589090853630181,0.7302722852930829,SS
Beijing,2019,4,2019-04-01,54.0,17.3,146,15.6,20.0,3.0,900,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Mid-spring conditions,NASA POWER,0,64.66666666666667,20.700000000000003,0.1670002827154441,0.1700583660317981,0.7413381019158535,SS
Beijing,2019,5,2019-05-01,59.0,18.9,152,21.8,34.0,2.8,1100,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Late spring; 1.4x multiplier,NASA POWER,0,56.333333333333336,18.03333333333333,0.4037537322967904,0.4069936175817187,0.7388812135403298,SS
Beijing,2019,6,2019-06-01,34.0,10.9,98,26.0,75.0,2.3,1350,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Summer onset; 0.8x annual avg,NASA POWER,0,49.0,15.700000000000005,-0.780013515609941,-0.7776826401678858,0.7809614300913373,SS
Beijing,2019,7,2019-07-01,29.0,9.3,87,27.5,180.0,2.1,1500,Landlocked,21.54,42.5,0.425,No Event,0,https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Summer minimum; CREA verified improvement,NASA POWER,0,40.66666666666666,13.033333333333337,-1.0167669651912872,-1.0146178917178068,0.8069729460834063,SSS
Beijing,2019,8,2019-08-01,32.0,10.2,92,26.8,178.0,2.1,1450,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Monsoon peak,NASA POWER,0,31.666666666666668,10.133333333333336,-0.8747148954424795,-0.8813418127209763,0.8037723970095778,SSS
Beijing,2019,9,2019-09-01,42.0,13.4,118,21.3,50.0,2.3,1000,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Autumn; 1.0x annual avg,NASA POWER,0,34.333333333333336,10.966666666666669,-0.401207996279787,-0.4074713096211343,0.7568883424934466,SS
Beijing,2019,10,2019-10-01,50.0,16.0,140,13.8,21.0,2.4,700,Landlocked,21.54,42.5,0.425,No Event,0,https://power.larc.nasa.gov/,Pre-heating; 1.2x multiplier,NASA POWER,0,41.333333333333336,13.200000000000005,-0.0224024769496329,-0.0224515258525127,0.7332501354030323,SS
Beijing,2019,11,2019-11-01,71.0,22.7,161,4.5,8.0,2.2,500,Landlocked,21.54,42.5,0.425,Heating Season Begins,1,https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Heating starts; 1.7x multiplier,NASA POWER,0,54.333333333333336,17.36666666666667,0.9719620112920214,0.9697148400127812,0.6504867857135188,S
Beijing,2019,12,2019-12-01,88.0,28.2,172,-2.5,2.6,2.0,350,Landlocked,21.54,42.5,0.425,Winter Action Plan Active,1,https://energyandcleanair.org/wp/wp-content/uploads/2020/01/CREA-brief-China2019.pdf,Winter peak; 2.1x annual avg,NASA POWER,0,69.66666666666667,22.3,1.7769237398685989,1.7841797672156343,0.6191290064358809,S
Beijing,2020,1,2020-01-01,68.0,21.8,159,-3.0,2.5,2.1,350,Landlocked,21.89,43.0,0.41,COVID-19 Lockdown Begins,1,https://power.larc.nasa.gov/,COVID-19 impact: ~20% reduction; estimated 38 µg/m³ annual avg,NASA POWER,0,75.66666666666667,24.23333333333333,0.8299099415432137,0.8364387610159508,0.6502836391277489,S
Beijing,2020,2,2020-02-01,57.0,18.2,149,1.0,3.0,2.3,400,Landlocked,21.89,43.0,0.41,COVID-19 Full Lockdown,1,https://power.larc.nasa.gov/ | https://www.statista.com/statistics/690823/china-annual-pm25-particle-levels-beijing/,Significant reduction due to lockdown; reduced heating demand,NASA POWER,0,71.0,22.73333333333333,0.3090523524642519,0.3033344450286284,0.6706513419579702,S
Beijing,2020,3,2020-03-01,49.0,15.7,138,7.8,12.0,2.7,700,Landlocked,21.89,43.0,0.41,Lockdown Continues,1,https://power.larc.nasa.gov/,Continued COVID impact; 1.3x with reduction,NASA POWER,0,58.0,18.566666666666663,-0.0697531668659021,-0.066876885518123,0.6967888442441157,S
Beijing,2020,4,2020-04-01,46.0,14.7,130,15.9,22.0,3.0,900,Landlocked,21.89,43.0,0.41,Gradual Reopening,1,https://power.larc.nasa.gov/,Lockdown easing,NASA POWER,0,50.66666666666666,16.200000000000003,-0.2118052366147099,-0.2149614177368236,0.7118793646029767,SS
Beijing,2020,5,2020-05-01,50.0,16.0,140,22.0,36.0,2.8,1100,Landlocked,21.89,43.0,0.41,No Event,0,https://power.larc.nasa.gov/,Partial recovery; 1.3x multiplier,NASA POWER,0,48.333333333333336,15.466666666666669,-0.0224024769496329,-0.0224515258525127,0.756984651525159,SS
Beijing,2020,6,2020-06-01,30.0,9.6,89,26.2,78.0,2.3,1350,Landlocked,21.89,43.0,0.41,No Event,0,https://power.larc.nasa.gov/,Summer low; 0.8x annual avg,NASA POWER,0,42.0,13.433333333333335,-0.969416275275018,-0.9701925320521968,0.7957001287922643,SS
Beijing,2020,7,2020-07-01,27.0,8.6,82,27.8,183.0,2.1,1500,Landlocked,21.89,43.0,0.41,No Event,0,https://power.larc.nasa.gov/,Summer minimum; 0.7x multiplier,NASA POWER,0,35.666666666666664,11.4,-1.111468345023826,-1.1182770642708972,0.818737905213651,SSS
Beijing,2020,8,2020-08-01,28.0,9.0,84,27.0,175.0,2.1,1450,Landlocked,21.89,43.0,0.41,No Event,0,https://power.larc.nasa.gov/,Monsoon season,NASA POWER,0,28.33333333333333,9.066666666666668,-1.0641176551075566,-1.059043251383417,0.8132419472528458,SSS
Beijing,2020,9,2020-09-01,38.0,12.2,107,21.5,52.0,2.3,1000,Landlocked,21.89,43.0,0.41,No Event,0,https://power.larc.nasa.gov/,Autumn; 1.0x annual avg,NASA POWER,0,31.0,9.933333333333335,-0.590610755944864,-0.5851727482835751,0.767572619190892,SS
Beijing,2020,10,2020-10-01,46.0,14.7,130,14.0,22.0,2.4,700,Landlocked,21.89,43.0,0.41,No Event,0,https://power.larc.nasa.gov/,Pre-heating; 1.2x multiplier,NASA POWER,0,37.333333333333336,11.966666666666669,-0.2118052366147099,-0.2149614177368236,0.7430677022389925,SS
Beijing,2020,11,2020-11-01,65.0,20.8,157,4.8,9.0,2.2,500,Landlocked,21.89,43.0,0.41,Heating Season Begins,1,https://power.larc.nasa.gov/,Heating starts; 1.7x multiplier,NASA POWER,0,49.66666666666666,15.9,0.6878578717944059,0.6883542287972503,0.6606953182215137,S
Beijing,2020,12,2020-12-01,80.0,25.6,166,-2.2,2.7,2.0,350,Landlocked,21.89,43.0,0.41,Winter Action Plan Active,1,https://power.larc.nasa.gov/,Winter season; 2.1x annual avg,NASA POWER,0,63.66666666666666,20.36666666666667,1.3981182205384448,1.3991599834470132,0.6320900252685492,S
Beijing,2021,1,2021-01-01,73.0,23.4,162,-2.8,2.6,2.1,350,Landlocked,21.89,43.5,0.415,Winter Action Plan Active,1,https://power.larc.nasa.gov/,Estimated 33 µg/m³ annual avg; 2.2x winter multiplier,NASA POWER,0,72.66666666666667,23.26666666666667,1.06666339112456,1.0733740125658715,0.64485907513792,S
Beijing,2021,2,2021-02-01,66.0,21.1,158,1.2,3.1,2.3,400,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Winter heating; 2.0x multiplier,NASA POWER,0,73.0,23.36666666666667,0.7352085617106752,0.7327795884628605,0.7063925435909059,SS
Beijing,2021,3,2021-03-01,43.0,13.8,120,8.0,13.0,2.7,700,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Spring; 1.3x annual avg,NASA POWER,0,60.66666666666666,19.433333333333334,-0.3538573063635177,-0.348237496733654,0.7526189572124996,SS
Beijing,2021,4,2021-04-01,40.0,12.8,112,16.0,23.0,3.0,900,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Mid-spring conditions,NASA POWER,0,49.66666666666666,15.9,-0.4959093761123255,-0.4963220289523546,0.7663928324381584,SS
Beijing,2021,5,2021-05-01,43.0,13.8,120,22.2,37.0,2.8,1100,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Late spring; 1.3x multiplier,NASA POWER,0,42.0,13.466666666666669,-0.3538573063635177,-0.348237496733654,0.7657376900790265,SS
Beijing,2021,6,2021-06-01,26.0,8.3,81,26.5,80.0,2.3,1350,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Summer onset; 0.8x annual avg,NASA POWER,0,36.333333333333336,11.633333333333336,-1.158819034940095,-1.1627024239365074,0.7972434743255807,SS
Beijing,2021,7,2021-07-01,23.0,7.4,74,28.0,185.0,2.1,1500,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Summer minimum; 0.7x multiplier,NASA POWER,0,30.666666666666668,9.833333333333336,-1.3008711046889028,-1.295978502933338,0.8215532914404926,SSS
Beijing,2021,8,2021-08-01,25.0,8.0,78,27.2,180.0,2.1,1450,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Monsoon peak,NASA POWER,0,24.666666666666668,7.900000000000003,-1.2061697248563643,-1.2071277836021177,0.8194995997348942,SSS
Beijing,2021,9,2021-09-01,33.0,10.6,94,21.8,54.0,2.3,1000,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Autumn; 1.0x annual avg,NASA POWER,0,27.0,8.66666666666667,-0.8273642055262103,-0.8221079998334961,0.776307556114385,SS
Beijing,2021,10,2021-10-01,40.0,12.8,112,14.2,23.0,2.4,700,Landlocked,21.89,43.5,0.415,No Event,0,https://power.larc.nasa.gov/,Pre-heating; 1.2x multiplier,NASA POWER,0,32.666666666666664,10.46666666666667,-0.4959093761123255,-0.4963220289523546,0.7532430494857297,SS
Beijing,2021,11,2021-11-01,56.0,17.9,148,5.0,10.0,2.2,500,Landlocked,21.89,43.5,0.415,Heating Season Begins,1,https://power.larc.nasa.gov/,Heating starts; 1.7x multiplier,NASA POWER,0,43.0,13.766666666666667,0.2617016625479826,0.2589090853630181,0.6729496291709004,S
Beijing,2021,12,2021-12-01,69.0,22.1,159,-2.0,2.8,2.0,350,Landlocked,21.89,43.5,0.415,Winter Action Plan Active,1,https://power.larc.nasa.gov/ | https://sustainablemobility.iclei.org/air-pollution-beijing/,Winter season; 2.1x annual avg; Olympics preparation begins,NASA POWER,0,55.0,17.600000000000005,0.877260631459483,0.8808641206815612,0.64629722312126,S
Beijing,2022,1,2022-01-01,67.0,21.4,158,-2.5,2.7,2.0,350,Landlocked,21.84,44.0,0.418,Winter Olympics Prep,1,https://power.larc.nasa.gov/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC9517278/,Verified 30.2 µg/m³ annual avg; 2.2x winter multiplier; Regional controls,NASA POWER,0,64.0,20.46666666666667,0.7825592516269444,0.7772049481284703,0.6515873125788998,S
Beijing,2022,2,2022-02-01,54.0,17.3,146,1.5,3.2,2.3,400,Landlocked,21.84,44.0,0.418,Beijing Winter Olympics,1,https://pmc.ncbi.nlm.nih.gov/articles/PMC9517278/ | https://energyandcleanair.org/beijing-winter-olympic-blue-and-chinas-long-march-against-smog/,Olympics Feb 4-20; Significant pollution reduction measures; 1.8x multiplier,NASA POWER,0,63.333333333333336,20.26666666666667,0.1670002827154441,0.1700583660317981,0.676213688135191,S
Beijing,2022,3,2022-03-01,39.0,12.5,110,8.2,14.0,2.7,700,Landlocked,21.84,44.0,0.418,Post-Olympics,0,https://power.larc.nasa.gov/,Spring; 1.3x annual avg,NASA POWER,0,53.333333333333336,17.066666666666666,-0.5432600660285948,-0.5407473886179649,0.7594821807076118,SS
Beijing,2022,4,2022-04-01,36.0,11.5,102,16.2,24.0,3.0,900,Landlocked,21.84,44.0,0.418,No Event,0,https://power.larc.nasa.gov/,Mid-spring conditions,NASA POWER,0,43.0,13.766666666666673,-0.6853121357774025,-0.6888319208366654,0.7738001020844056,SS
Beijing,2022,5,2022-05-01,39.0,12.5,110,22.5,38.0,2.8,1100,Landlocked,21.84,44.0,0.418,No Event,0,https://power.larc.nasa.gov/,Late spring; 1.3x multiplier,NASA POWER,0,38.0,12.16666666666667,-0.5432600660285948,-0.5407473886179649,0.7739681425250962,SS
Beijing,2022,6,2022-06-01,24.0,7.7,77,26.8,82.0,2.3,1350,Landlocked,21.84,44.0,0.418,No Event,0,https://power.larc.nasa.gov/,Summer onset; 0.8x annual avg,NASA POWER,0,33.0,10.566666666666668,-1.2535204147726335,-1.2515531432677278,0.8024942927932237,SSS
Beijing,2022,7,2022-07-01,21.0,6.7,70,28.2,188.0,2.1,1500,Landlocked,21.84,44.0,0.418,No Event,0,https://www.statista.com/statistics/690823/china-annual-pm25-particle-levels-beijing/,Summer minimum; verified 30.2 µg/m³ annual; 0.7x multiplier,NASA POWER,0,28.0,8.966666666666669,-1.3955724845214412,-1.3996376754864286,0.8280172011419147,SSS
Beijing,2022,8,2022-08-01,23.0,7.4,74,27.5,182.0,2.1,1450,Landlocked,21.84,44.0,0.418,No Event,0,https://power.larc.nasa.gov/,Monsoon season,NASA POWER,0,22.666666666666668,7.266666666666669,-1.3008711046889028,-1.295978502933338,0.8239393253674061,SSS
Beijing,2022,9,2022-09-01,30.0,9.6,89,22.0,56.0,2.3,1000,Landlocked,21.84,44.0,0.418,No Event,0,https://power.larc.nasa.gov/,Autumn; 1.0x annual avg,NASA POWER,0,24.666666666666668,7.900000000000003,-0.969416275275018,-0.9701925320521968,0.7819153609422314,SS
Beijing,2022,10,2022-10-01,36.0,11.5,102,14.5,24.0,2.4,700,Landlocked,21.84,44.0,0.418,No Event,0,https://power.larc.nasa.gov/,Pre-heating; 1.2x multiplier,NASA POWER,0,29.666666666666668,9.500000000000002,-0.6853121357774025,-0.6888319208366654,0.7603040133629124,SS
Beijing,2022,11,2022-11-01,51.0,16.3,142,5.2,11.0,2.2,500,Landlocked,21.84,44.0,0.418,Heating Season Begins,1,https://power.larc.nasa.gov/,Heating starts; 1.7x multiplier,NASA POWER,0,39.0,12.466666666666669,0.0249482129666363,0.0219738338130975,0.6804655965386588,S
Beijing,2022,12,2022-12-01,63.0,20.2,154,-1.8,2.9,2.0,350,Landlocked,21.84,44.0,0.418,Winter Action Plan Active,1,https://power.larc.nasa.gov/,Winter season; 2.1x annual avg,NASA POWER,0,50.0,16.0,0.5931564919618674,0.5995035094660297,0.6546432009351741,S
Beijing,2023,1,2023-01-01,86.0,27.5,170,-2.2,2.8,2.0,350,Landlocked,21.87,44.5,0.421,Winter Action Plan Active,1,https://www.statista.com/statistics/690823/china-annual-pm25-particle-levels-beijing/,Verified 39 µg/m³ annual avg (US Embassy); 2.2x winter multiplier,NASA POWER,0,66.66666666666667,21.33333333333333,1.6822223600360602,1.680520594662544,0.6271841719372724,S
Beijing,2023,2,2023-02-01,78.0,25.0,164,1.8,3.3,2.3,400,Landlocked,21.87,44.5,0.421,No Event,0,https://www.statista.com/statistics/690823/china-annual-pm25-particle-levels-beijing/,Winter heating; 2.0x multiplier,NASA POWER,0,75.66666666666667,24.23333333333333,1.303416840705906,1.3103092641157927,0.6904510933105032,S
Beijing,2023,3,2023-03-01,51.0,16.3,142,8.5,15.0,2.7,700,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Spring; 1.3x annual avg,NASA POWER,0,71.66666666666667,22.933333333333337,0.0249482129666363,0.0219738338130975,0.7428859023227976,SS
Beijing,2023,4,2023-04-01,47.0,15.0,134,16.5,25.0,3.0,900,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Mid-spring conditions,NASA POWER,0,58.66666666666666,18.76666666666667,-0.1644545466984406,-0.1705360580712134,0.7604173349960999,SS
Beijing,2023,5,2023-05-01,51.0,16.3,142,22.8,40.0,2.8,1100,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Late spring; 1.3x multiplier,NASA POWER,0,49.66666666666666,15.866666666666667,0.0249482129666363,0.0219738338130975,0.7596709179813133,SS
Beijing,2023,6,2023-06-01,31.0,9.9,91,27.0,85.0,2.3,1350,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Summer onset; 0.8x annual avg,NASA POWER,0,43.0,13.733333333333336,-0.9220655853587488,-0.9257671723865863,0.7925639959130331,SS
Beijing,2023,7,2023-07-01,27.0,8.6,82,28.5,190.0,2.1,1500,Landlocked,21.87,44.5,0.421,No Event,0,https://www.statista.com/statistics/690823/china-annual-pm25-particle-levels-beijing/,Summer minimum; 0.7x multiplier,NASA POWER,0,36.333333333333336,11.600000000000003,-1.111468345023826,-1.1182770642708972,0.81833231212566,SSS
Beijing,2023,8,2023-08-01,29.0,9.3,87,27.8,185.0,2.1,1450,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Monsoon peak,NASA POWER,0,29.0,9.26666666666667,-1.0167669651912872,-1.0146178917178068,0.8164172848055418,SSS
Beijing,2023,9,2023-09-01,39.0,12.5,110,22.2,58.0,2.3,1000,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Autumn; 1.0x annual avg,NASA POWER,0,31.666666666666668,10.133333333333336,-0.5432600660285948,-0.5407473886179649,0.7702576076749186,SS
Beijing,2023,10,2023-10-01,47.0,15.0,134,14.8,25.0,2.4,700,Landlocked,21.87,44.5,0.421,No Event,0,https://power.larc.nasa.gov/,Pre-heating; 1.2x multiplier,NASA POWER,0,38.333333333333336,12.266666666666673,-0.1644545466984406,-0.1705360580712134,0.7451903705130087,SS
Beijing,2023,11,2023-11-01,66.0,21.1,158,5.5,12.0,2.2,500,Landlocked,21.87,44.5,0.421,Heating Season Begins,1,https://power.larc.nasa.gov/,Heating starts; 1.7x multiplier,NASA POWER,0,50.66666666666666,16.200000000000003,0.7352085617106752,0.7327795884628605,0.6632762140832988,S
Beijing,2023,12,2023-12-01,82.0,26.2,167,-1.5,3.0,2.0,350,Landlocked,21.87,44.5,0.421,Winter Action Plan Active,1,https://www.statista.com/statistics/690823/china-annual-pm25-particle-levels-beijing/,Winter peak; 2.1x annual avg,NASA POWER,0,65.0,20.76666666666667,1.4928196003709833,1.4880107027782332,0.6329990784099662,S
Beijing,2024,1,2024-01-01,75.0,24.0,163,-2.0,2.9,2.0,350,Landlocked,21.9,44.9,0.423,Winter Action Plan Active,1,https://power.larc.nasa.gov/ | https://dialogue.earth/en/pollution/chinas-air-pollution-progress-since-2008/,Estimated 34 µg/m³ annual avg; 2.2x winter multiplier; continued improvement,NASA POWER,0,74.33333333333333,23.76666666666667,1.1613647709570984,1.162224731897092,0.6445311006097785,S
Beijing,2024,2,2024-02-01,68.0,21.8,159,2.0,3.4,2.3,400,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Winter heating; 2.0x multiplier,NASA POWER,0,75.0,24.0,0.8299099415432137,0.8364387610159508,0.7073833827837702,SS
Beijing,2024,3,2024-03-01,44.0,14.1,124,8.8,16.0,2.7,700,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Spring; 1.3x annual avg,NASA POWER,0,62.333333333333336,19.96666666666667,-0.3065066164472484,-0.303812137068044,0.7547386662627168,SS
Beijing,2024,4,2024-04-01,41.0,13.1,115,16.8,26.0,3.0,900,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Mid-spring conditions,NASA POWER,0,51.0,16.333333333333332,-0.4485586861960562,-0.4518966692867446,0.7685867498115478,SS
Beijing,2024,5,2024-05-01,44.0,14.1,124,23.0,42.0,2.8,1100,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Late spring; 1.3x multiplier,NASA POWER,0,43.0,13.766666666666667,-0.3065066164472484,-0.303812137068044,0.767962243036874,SS
Beijing,2024,6,2024-06-01,27.0,8.6,82,27.2,88.0,2.3,1350,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Summer onset; 0.8x annual avg,NASA POWER,0,37.333333333333336,11.933333333333335,-1.111468345023826,-1.1182770642708972,0.8004311973345981,SSS
Beijing,2024,7,2024-07-01,24.0,7.7,77,28.8,193.0,2.1,1500,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Summer minimum; 0.7x multiplier,NASA POWER,0,31.666666666666668,10.133333333333336,-1.2535204147726335,-1.2515531432677278,0.8245642190599396,SSS
Beijing,2024,8,2024-08-01,26.0,8.3,81,28.0,188.0,2.1,1450,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Monsoon season,NASA POWER,0,25.666666666666668,8.200000000000001,-1.158819034940095,-1.1627024239365074,0.8227769986601465,SSS
Beijing,2024,9,2024-09-01,34.0,10.9,98,22.5,60.0,2.3,1000,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Autumn; 1.0x annual avg,NASA POWER,0,28.0,8.966666666666669,-0.780013515609941,-0.7776826401678858,0.7791134877561245,SS
Beijing,2024,10,2024-10-01,41.0,13.1,115,15.0,26.0,2.4,700,Landlocked,21.9,44.9,0.423,No Event,0,https://power.larc.nasa.gov/,Pre-heating; 1.2x multiplier,NASA POWER,0,33.666666666666664,10.766666666666673,-0.4485586861960562,-0.4518966692867446,0.755701685972512,SS
Beijing,2024,11,2024-11-01,58.0,18.6,151,5.8,13.0,2.2,500,Landlocked,21.9,44.9,0.423,Heating Season Begins,1,https://power.larc.nasa.gov/,Heating starts; 1.7x multiplier,NASA POWER,0,44.333333333333336,14.200000000000005,0.3564030423805211,0.362568257916109,0.6740162759611497,S
