CaseID,Event_Name,City,Year,Month,YYYY-MM,Key_Pollutant,PM2.5_ugm3,NO2_ppb,Temp_C,Rainfall_mm,WindSpeed_ms,PBL_Height_m,DriverCause,Intervention_Type,Policy_Event,Outcome,SourceReference,Notes
CS020,New_York_Smaze,New York City,1953,11,1953-11,PM10,350,85,6,8,0.8,220,Coal combustion (power/heating) + industrial emissions + vehicle exhaust + thermal inversion,Policy,New York City Air Pollution Control,First municipal air pollution control department in US,https://aqli.epic.uchicago.edu/news/the-origin-story-of-the-air-quality-index-and-the-toxic-smaze-that-came-before-it/,6-day toxic shroud; 200+ deaths; coined term 'smaze' (smoke + haze)
CS021,Kuala_Lumpur_Haze,Kuala Lumpur,1997,09,1997-09,PM10,350,60,30,0,1.0,480,Indonesian forest fires + peat burning + transboundary smoke transport + El Niño drought,Policy,Environmental Quality Act 1997,Regional cooperation on haze; emergency measures protocol,https://www.sciencedirect.com/science/article/abs/pii/S0269749114001018,Worst Malaysian haze; API hazardous for 6 months; entire country affected
CS022,Seoul_Olympics_Smog,Seoul,1988,09,1988-09,PM10,180,110,22,95,2.2,420,Rapid industrialization + vehicle emissions + construction dust + thermal conditions,Policy,Air Quality Improvement Program,Pre-Olympics traffic restrictions and factory controls,https://en.wikipedia.org/wiki/Air_pollution_in_South_Korea,Olympic preparations drove first major air quality initiatives
CS023,Mumbai_Diwali,Mumbai,2018,11,2018-11,PM2.5,380,75,28,0,1.5,380,Fireworks + construction dust + vehicle emissions + industrial sources + sea breeze inversion,Policy,Firecracker Time Restrictions,Limited success; awareness campaigns increased,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Festival pollution spike; AQI reached 'very poor' category
CS024,Osaka_Industrial_Smog,Osaka,1970,07,1970-07,SO2,N/A,120,28,150,1.8,420,Heavy industrial emissions (steel/chemicals) + vehicle exhaust + photochemical reactions,Policy,Air Pollution Control Act 1968,Japan's first comprehensive air quality law; emission standards,https://aozora.or.jp/lang/english/the-history-of-japans-air-pollution/,Known as 'Smoke Capital'; industrial development crisis
CS025,Chongqing_Fog_Crisis,Chongqing,2017,01,2017-01,PM2.5,420,105,-2,5,0.9,180,Coal heating + industrial emissions + natural fog + mountainous topography + thermal inversion,Policy,Coal Ban in Urban Areas,Central heating expansion; coal replacement program,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Mountainous city with severe winter pollution; natural fog compounds smog
CS026,Ulaanbaatar_Winter,Ulaanbaatar,2016,12,2016-12,PM2.5,580,85,-25,2,1.2,150,Raw coal burning (ger districts) + vehicle emissions + extreme cold + valley topography,Policy,Clean Air Fund 2017,Transition to cleaner fuels; improved stoves distribution,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,World's coldest capital; informal settlements burn raw coal
CS027,Kraków_Smog_Alert,Kraków,2017,01,2017-01,PM2.5,280,90,-8,10,1.0,220,Residential coal heating + vehicle emissions + valley location + winter inversion,Policy,Coal Burning Ban 2019,City-wide coal ban; subsidies for heating system replacement,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,One of Europe's most polluted cities; residential heating primary cause
CS028,Hanoi_Construction_Dust,Hanoi,2018,02,2018-02,PM10,220,95,18,5,1.5,320,Construction activities + vehicle emissions + industrial sources + meteorological stagnation,Policy,Construction Dust Control Regulations,Mandatory dust suppression at construction sites,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Rapid urban development; construction boom pollution
CS029,Sydney_Bushfire_Smoke,Sydney,2019,12,2019-12,PM2.5,480,40,32,0,3.0,520,Bushfire smoke (drought + heat) + long-range transport + urban heat island,Infrastructure,Air Quality Monitoring Expansion,Increased monitoring network; public health advisories,https://appliedsciences.nasa.gov/sites/default/files/D1P8_SfcPM25_final_8.pdf,Worst bushfire season; hazardous air for weeks; PM2.5 11x WHO limit
CS030,Almaty_Inversion_Crisis,Almaty,2014,12,2014-12,PM2.5,340,100,-12,8,0.8,180,Vehicle emissions + coal heating + industrial sources + mountain valley topography + thermal inversion,Policy,Environmental Code 2015,Vehicle emission standards; heating fuel quality improvements,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Mountain-locked city; chronic winter inversions
CS031,Dhaka_Brick_Kiln,Dhaka,2019,01,2019-01,PM2.5,450,88,18,2,1.2,280,Brick kiln emissions + vehicle exhaust + construction dust + transboundary pollution + winter stagnation,Policy,Brick Kiln Emission Standards,Zigzag technology mandate; seasonal operation limits,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,4000+ brick kilns around city; major pollution source
CS032,Istanbul_Heating_Season,Istanbul,2017,12,2017-12,PM10,210,105,5,65,2.0,300,Coal/wood heating + vehicle emissions + shipping (Bosphorus) + topographic channeling,Policy,Natural Gas Conversion Program,Subsidized natural gas infrastructure; coal phase-out,https://airquality.gsfc.nasa.gov/forecast,Transcontinental city; winter heating pollution spike
CS033,Kathmandu_Valley_Smog,Kathmandu,2018,01,2018-01,PM2.5,320,75,8,5,1.0,240,Brick kilns + vehicle emissions + biomass burning + valley topography + winter inversion,Policy,Valley-wide Pollution Control,Brick kiln relocation; vehicle emission testing,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Bowl-shaped valley traps pollution; world heritage at risk
CS034,Bogota_Rush_Hour,Bogotá,2019,03,2019-03,NO2,85,125,14,45,1.8,420,Vehicle emissions + high altitude + rapid motorization + inadequate public transit,Policy,Pico y Placa Extension,Extended driving restrictions; TransMilenio expansion,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,High-altitude city; NO2 from vehicle density
CS035,Skopje_Balkan_Crisis,Skopje,2017,12,2017-12,PM10,285,95,-2,15,0.9,200,Residential wood/coal burning + vehicle emissions + industrial sources + valley topography,Policy,State of Emergency Declared,Traffic restrictions; free public transport; vulnerable population advisory,https://airquality.gsfc.nasa.gov/forecast,One of Europe's most polluted capitals; energy poverty drives wood burning
CS036,Brisbane_Hazard_Burn,Brisbane,2018,09,2018-09,PM2.5,180,35,24,0,2.8,480,Prescribed burns + bushfire smoke + dry conditions + wind transport,Infrastructure,Prescribed Burn Protocol Review,Improved burn scheduling; public notification system,https://appliedsciences.nasa.gov/sites/default/files/D1P8_SfcPM25_final_8.pdf,Hazard reduction burns created unexpected urban smoke event
CS037,Christchurch_Wood_Smoke,Christchurch,2016,06,2016-06,PM10,180,55,6,55,1.5,280,Residential wood burning + vehicle emissions + temperature inversion + basin topography,Policy,Clean Air Programme Phase 2,Wood burner replacement subsidies; restrictions on installations,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Winter wood smoke dominates; Canterbury Plains inversion
CS038,Shenzhen_Industrial_Haze,Shenzhen,2013,10,2013-10,PM2.5,185,95,24,15,1.8,380,Industrial emissions + vehicle traffic + construction dust + regional transport + sea-land breeze,Policy,Air Quality Management Plan,Factory relocation; vehicle emission standards,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Rapid industrialization; Pearl River Delta pollution
CS039,Riyadh_Dust_Storm,Riyadh,2018,03,2018-03,PM10,950,65,28,0,4.5,650,Desert dust storm + construction activities + vehicle-raised dust + arid conditions,Infrastructure,Green Riyadh Project,Urban greening; dust suppression measures,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Dust storms combine with urban pollution; visibility severely reduced
CS040,Guangzhou_Pearl_Delta,Guangzhou,2014,01,2014-01,PM2.5,220,108,12,25,1.5,320,Industrial emissions (manufacturing) + vehicle traffic + regional pollution transport + meteorology,Policy,Pearl River Delta Air Quality Plan,Regional cooperation; emission controls across 9 cities,https://pmc.ncbi.nlm.nih.gov/articles/PMC6918940/,Major manufacturing hub; regional pollution challenge
CS041,NYC_Canadian_Smoke,New York City,2023,06,2023-06,PM2.5,315,55,18,15,2.0,420,Canadian wildfire smoke transport + Quebec forest fires + atmospheric stagnation + radiative cooling effect,Infrastructure,Emergency Air Quality Advisories,Increased asthma ED visits; focus on indoor air quality; AQI reached 342 hazardous,https://www.nature.com/articles/s43247-025-02214-3,Orange apocalyptic sky; PM2.5 14.5x WHO guidelines; cooled NYC by 3°C
CS042,Chile_Mega_Fires,Valparaíso,2024,02,2024-02,PM2.5,450,65,28,0,3.5,480,Climate-driven wildfires + extreme heat + drought + eucalyptus plantations + urban-wildland interface,Policy,National Emergency Declaration,134 deaths; PM2.5 6x WHO limits; increased respiratory hospitalizations,https://www.sciencedirect.com/science/article/abs/pii/S0048969724056912,Most devastating Chilean fires; 10000+ homes destroyed; black carbon spike
CS043,Bangkok_Burning_Season,Bangkok,2023,03,2023-03,PM2.5,180,85,32,5,1.2,380,Agricultural burning + vehicle emissions + construction dust + transboundary smoke + thermal inversion,Policy,Emergency PM2.5 Reduction Plan,Schools moved online; construction halts; cloud seeding attempted,https://www.iqair.com/thailand/bangkok,Worst air quality in decade; ranked most polluted city globally multiple days
CS044,Sarajevo_Valley_Trap,Sarajevo,2022,01,2022-01,PM10,320,110,-2,25,0.8,190,Residential coal/wood burning + vehicle emissions + valley topography + winter inversion + poverty,Policy,Coal Burning Restrictions,Limited enforcement; EU pressure for environmental standards,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Europe's most polluted capital; energy poverty drives solid fuel use
CS045,Warsaw_Smog_Alert,Warsaw,2023,12,2023-12,PM2.5,165,95,0,18,1.5,280,Residential heating + vehicle emissions + industrial sources + anticyclonic conditions,Policy,Smog Alert System,Public health warnings; free public transport during high pollution,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Recurring winter pollution; Poland's coal dependence challenge
CS046,Montreal_Smoke_Wave,Montreal,2023,06,2023-06,PM2.5,240,48,20,12,2.2,450,Quebec wildfire smoke + local forest fires + atmospheric transport + urban heat island,Infrastructure,Air Quality Health Index Expansion,Increased monitoring; vulnerable population advisories; AQI 250+,https://www.nature.com/articles/s41586-025-09482-1,Part of 2023 Canadian fire season; widespread regional impact
CS047,Portland_Fire_Season,Portland,2020,09,2020-09,PM2.5,520,50,24,0,1.8,380,Oregon wildfires + dry conditions + wind patterns + smoke transport + climate change,Infrastructure,Emergency Smoke Shelters,Indoor air quality program; low-cost sensor network expansion,https://appliedsciences.nasa.gov/sites/default/files/D1P8_SfcPM25_final_8.pdf,Multiple fire complexes; worst air quality on record; AQI exceeded 500
CS048,Nairobi_Traffic_Crisis,Nairobi,2022,08,2022-08,PM2.5,95,88,18,45,2.5,520,Vehicle emissions (old fleet) + unpaved roads + construction dust + biomass burning,Policy,Vehicle Age Limit Enforcement,8-year import age limit; matatu emission testing,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Rapid motorization; informal public transport pollution
CS049,Ho_Chi_Minh_Motorbike,Ho Chi Minh City,2021,02,2021-02,PM2.5,125,105,28,5,1.6,400,Motorcycle emissions + construction boom + industrial sources + meteorological stagnation,Policy,Motorcycle Emission Standards,Euro 4 standards implemented; green public transport expansion,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,9 million motorcycles; vehicle density challenge
CS050,Addis_Ababa_Construction,Addis Ababa,2021,12,2021-12,PM10,180,72,15,35,2.8,480,Construction dust + unpaved roads + vehicle emissions + eucalyptus burning,Infrastructure,Urban Air Quality Monitoring,First comprehensive monitoring network; EPA establishment,https://airquality.gsfc.nasa.gov/forecast,Rapid urbanization; infrastructure boom pollution
CS051,Kolkata_Diwali,Kolkata,2021,11,2021-11,PM2.5,420,92,24,0,1.0,320,Fireworks + crop burning + vehicle traffic + industrial emissions + thermal inversion,Policy,Firecracker Ban Extension,2-hour window; enforcement challenges; public awareness campaigns,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Post-pandemic Diwali; PM2.5 spike 8x normal levels
CS052,Phoenix_Dust_Storm,Phoenix,2018,07,2018-07,PM10,850,65,42,0,8.5,720,Haboob dust storm + desert conditions + thunderstorm outflow + vehicle-raised dust,Infrastructure,Dust Action Program,Forecasting system; public warning protocols,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Massive dust wall; visibility near zero; airport closures
CS053,Auckland_Smoke_Event,Auckland,2023,02,2023-02,PM2.5,95,42,22,15,3.0,520,Residential wood burning + vehicle emissions + temperature inversion + topography,Policy,Clean Air Rules 2022,Wood burner restrictions; emission standards,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Summer smoke event; unusual for season; health advisories
CS054,Tashkent_Cotton_Burn,Tashkent,2019,10,2019-10,PM2.5,280,85,15,8,1.5,340,Agricultural burning (cotton stalks) + vehicle emissions + industrial sources + thermal inversion,Policy,Agricultural Burning Restrictions,Penalties for open burning; crop residue management programs,https://airquality.gsfc.nasa.gov/forecast,Cotton harvest season; Central Asian regional issue
CS055,Quito_Traffic_Altitude,Quito,2020,08,2020-08,NO2,75,135,14,35,2.0,380,Vehicle emissions + high altitude + incomplete combustion + valley topography + rapid motorization,Policy,Pico y Placa Expansion,Driving restrictions extended; electric bus fleet,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,2850m altitude; thin air increases emissions; Andean valley location
CS056,Manila_Jeepney_Smoke,Manila,2020,01,2020-01,PM2.5,145,98,28,25,2.2,420,Jeepney/diesel emissions + traffic congestion + construction + thermal conditions,Policy,Jeepney Modernization Program,Phase-out of old vehicles; electric jeepney introduction,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Iconic transport pollution; 200000+ jeepneys; public resistance
CS057,Buenos_Aires_Winter,Buenos Aires,2019,07,2019-07,PM10,125,95,10,45,2.5,320,Vehicle emissions + residential heating + industrial sources + atmospheric stagnation,Policy,Emergency Environmental Protocol,Health warnings; traffic management during episodes,https://airquality.gsfc.nasa.gov/forecast,Winter pollution spike; southern hemisphere inversion
CS058,Kampala_Boda_Exhaust,Kampala,2022,06,2022-06,PM2.5,115,82,23,85,2.0,450,Motorcycle taxis (boda-boda) + unpaved roads + vehicle emissions + biomass burning,Policy,Boda-Boda Emission Standards,Registration requirements; helmet laws include emission checks,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,300000+ motorcycle taxis; informal transport pollution
CS059,Dar_es_Salaam_Dust,Dar es Salaam,2021,09,2021-09,PM10,165,68,26,15,3.5,520,Unpaved roads + construction dust + vehicle emissions + coastal winds + rapid urbanization,Infrastructure,Urban Roads Paving Program,Major road paving initiative; dust suppression measures,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,70% roads unpaved; construction boom; dust predominant pollutant
CS060,Vancouver_Smoke_Dome,Vancouver,2021,07,2021-07,PM2.5,280,45,32,0,1.2,420,BC interior wildfires + heat dome + atmospheric stagnation + smoke transport,Infrastructure,Cooling Centers Air Filtration,Emergency shelters with HEPA; vulnerable population support,https://appliedsciences.nasa.gov/sites/default/files/D1P8_SfcPM25_final_8.pdf,Record heat + smoke; 619 deaths; combined climate extremes
CS061,Accra_Waste_Burning,Accra,2020,03,2020-03,PM2.5,185,75,30,55,2.8,480,Open waste burning + vehicle emissions + industrial sources + coastal conditions,Policy,Waste Management Act 2020,Ban on open burning; waste collection improvement,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Informal waste disposal; burning prevalent in informal settlements
CS062,Brasília_Cerrado_Fires,Brasília,2020,09,2020-09,PM2.5,220,58,28,0,3.0,580,Cerrado savanna fires + agricultural burning + dry season + wind transport,Policy,Fire Prevention Campaign,Increased monitoring; firefighting resources; burning bans,https://airquality.gsfc.nasa.gov/forecast,Brazilian savanna burning; climate-driven fire season
CS063,Casablanca_Traffic_Surge,Casablanca,2022,11,2022-11,NO2,80,115,18,25,3.2,420,Vehicle emissions + port activities + industrial zone + coastal meteorology,Policy,Clean Air Action Plan,Vehicle emission standards; port electrification plans,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Economic capital; rapid motorization; Morocco's largest city
CS064,Lima_Desert_Inversion,Lima,2021,07,2021-07,PM2.5,95,88,16,0,2.0,280,Vehicle emissions + desert dust + coastal inversion + industrial sources + no rain,Policy,Aire Limpio Program,Vehicle restrictions; emission standards; monitoring expansion,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Coastal desert city; persistent inversion; virtually no rainfall
CS065,Karachi_Industrial_Haze,Karachi,2022,12,2022-12,PM2.5,380,95,18,5,1.8,320,Industrial emissions + vehicle traffic + construction dust + coastal refinery + winter stagnation,Policy,Sindh Clean Air Act,Industrial emission limits; vehicle inspection program,https://airquality.gsfc.nasa.gov/forecast,Pakistan's largest city; industrial corridor pollution
CS066,Medellin_Valley_Smog,Medellín,2019,03,2019-03,PM2.5,145,102,22,65,1.5,340,Vehicle emissions + valley topography + industrial activity + thermal inversion,Policy,Pico y Placa Ambiental,Environmental emergency restrictions; public transport free,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/hazards-and-disasters/air-quality,Aburrá Valley trap; motorcycle capital; topographic challenge
CS067,Dakar_Sahara_Dust,Dakar,2020,02,2020-02,PM10,420,55,24,0,5.5,650,Saharan dust transport + vehicle emissions + coastal winds + desert conditions,Infrastructure,Air Quality Monitoring Network,First monitoring stations; health advisory system,https://airquality.gsfc.nasa.gov/forecast,Harmattan season; Saharan dust dominates; regional phenomenon
CS068,Port_au_Prince_Generator,Port-au-Prince,2021,07,2021-07,PM2.5,125,92,30,120,2.2,480,Diesel generators + vehicle emissions + waste burning + limited electricity + poverty,Policy,Energy Sector Reform Attempt,Grid improvement plans; renewable energy push,https://sites.wustl.edu/acag/datasets/surface-pm2-5/,Electricity crisis; 60000+ generators; economic collapse impact
CS069,Canberra_Bushfire_Smoke,Canberra,2020,01,2020-01,PM2.5,620,42,28,5,2.0,450,Bushfire smoke transport + local fires + extreme heat + drought conditions,Infrastructure,National Bushfire Recovery,Enhanced air monitoring; community shelters with filtration,https://appliedsciences.nasa.gov/sites/default/files/D1P8_SfcPM25_final_8.pdf,Black Summer fires; capital city impacted; PM2.5 23x hazardous threshold
CS070,Tunis_Agricultural_Burn,Tunis,2021,06,2021-06,PM10,165,78,32,0,3.0,520,Agricultural burning + vehicle emissions + Saharan dust + coastal conditions,Policy,Agricultural Burning Ban,Timing restrictions; crop residue alternatives,https://airquality.gsfc.nasa.gov/forecast,Summer harvest burning; Mediterranean coastal pollution
CS071,Shijiazhuang_Red_Alert,Shijiazhuang,2016,12,2016-12,PM2.5,1000,145,-3,0,0.9,180,Coal combustion + steel industry + vehicle emissions + winter heating + stagnant meteorology,Policy,Red Alert Emergency Response,Schools closed; factories halted; traffic restrictions; most severe alert,https://www.thelancet.com/journals/lanplh/article/PIIS2542-5196(17)30024-4/fulltext,Henan province severe smog; PM2.5 exceeded 1000 μg/m³; December 2016 wave
CS072,Zibo_Industrial_Haze,Zibo,2015,01,2015-01,PM2.5,88,98,-2,5,1.3,240,Heavy industrial emissions (petrochemicals/ceramics) + coal combustion + vehicle traffic,Policy,Industrial Emission Controls,Factory upgrades; emission standards tightened,https://aaqr.org/articles/aaqr-19-11-baq-0591,Heavy industrial city North China; annual PM2.5 88 μg/m³ in 2015
CS073,Milan_Po_Valley,Milan,2023,01,2023-01,PM2.5,85,92,3,15,1.2,280,Vehicle emissions + residential heating + Po Valley topography + winter inversion + stagnation,Policy,Traffic Restrictions Extended,Area C expansion; diesel ban; public transport incentives,https://atmosphere.copernicus.eu/extreme-episode-particulate-matter-air-pollution-across-italys-po-valley,Po Valley trap; surrounded by Alps; persistent winter pollution
CS074,Turin_Winter_Smog,Turin,2022,12,2022-12,PM10,95,88,2,25,1.0,260,Vehicle emissions + residential heating + industrial activity + Alpine barrier + inversion,Policy,Emergency Traffic Measures,Vehicle circulation limits; heating temperature restrictions,https://www.eea.europa.eu/en/topics/in-depth/air-pollution,Alpine foothills location; chronic winter pollution problem
CS075,Rome_Traffic_Crisis,Rome,2020,02,2020-02,NO2,75,105,12,45,2.0,380,Vehicle emissions + traffic congestion + topographic bowl + limited public transport,Policy,Limited Traffic Zone Expansion,Historic center restrictions; public transport improvement,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Sentinel-5P/Air_pollution_remains_low_as_Europeans_stay_at_home,Seven hills topography; traffic density; 45% NO2 reduction during lockdown
CS076,Padova_Valley_Pollution,Padua,2023,01,2023-01,PM2.5,90,85,1,18,1.1,250,Vehicle emissions + agricultural activities + residential heating + Po Valley stagnation,Policy,Regional Air Quality Plan,Coordinated Veneto region measures; biomass burning restrictions,https://www.europeandatajournalism.eu/cp_data_news/no-clean-air-in-sight-europes-worst-affected-cities/,Veneto region pollution; PM2.5 surged above 75 μg/m³ January 2023
CS077,Verona_Smog_Episode,Verona,2023,01,2023-01,PM2.5,88,82,2,20,1.2,270,Vehicle emissions + residential heating + agricultural burning + valley location + inversion,Policy,Biomass Burning Ban,Wood stove restrictions; heating fuel regulations,https://www.europeandatajournalism.eu/cp_data_news/no-clean-air-in-sight-europes-worst-affected-cities/,Arena city; tourist impact; January 2023 spike above 75 μg/m³
